filename_target	aligned_languages	aligned_languages_names	file_lines	de_source	it_source	fr_source
mitenand_0.tsv	3	de-it-fr	43	2022-01-20_unterstützung_bei_der.srt	2022-06-06_fondazione_quellenhof_-.srt	2022-01-01_2204_chaîne_du_bonheur.srt
mitenand_1.tsv	3	de-it-fr	57	2022-01-27_haarschnitt_für_ein.srt	2022-02-26_kar-li_-_un.srt	2022-03-13_2212_kar_li.srt
mitenand_2.tsv	3	de-it-fr	44	2022-02-03_ghana_–_bildungschancen.srt	2022-02-12_opportunità_educative_grazie.srt	2022-04-03_2215_opportunity_international.srt
mitenand_3.tsv	3	de-it-fr	59	2022-02-10_bewegungsförderung_für_kinder.srt	2022-05-07_idée_sport_-.srt	2022-08-21_2227_idée_sport.srt
mitenand_4.tsv	3	de-it-fr	52	2022-02-17_lehrabschluss_trotz_beeinträchtigung.srt	2022-08-13_fondazione_brunau_-.srt	2022-05-08_2220_fondation_brunau.srt
mitenand_5.tsv	2	de-it	41	2022-02-24_brasilien_–_ein.srt	2022-04-23_don_bosco_-.srt	
mitenand_6.tsv	2	de-fr	27	2022-03-03_ein_neues_leben.srt		2022-05-03_kumea_recueille_les.srt
mitenand_7.tsv	2	de-it	38	2022-03-10_unterstützung_für_flüchtlinge.srt	2022-03-19_caritas_-_sostegno.srt	
mitenand_8.tsv	2	de-fr	59	2022-03-24_für_ein_leben.srt		2022-08-14_2229_palliaviva.srt
mitenand_9.tsv	2	de-it	36	2022-03-31_brasilien_–_chancengleichheit.srt	2022-06-04_terres_des_hommes.srt	
mitenand_10.tsv	2	de-it	33	2022-04-14_argentinien_–_eine.srt	2022-05-21_connexio_develop_(argentina).srt	
mitenand_11.tsv	3	de-it-fr	59	2022-04-21_kunstatelier_für_begegnung.srt	2022-06-18_fondazione_solinetz_-.srt	2022-09-04_2232_atelier_d'art.srt
mitenand_12.tsv	2	de-fr	31	2022-04-28_kunsttherapie_für_betroffene.srt		2022-02-06_2207_sclérose_en_plaques.srt
mitenand_13.tsv	3	de-it-fr	51	2022-05-12_ein_warmer_platz.srt	2022-10-29_catena_della_solidarietà.srt	2022-04-17_2217_chaîne_du_bonheur.srt
mitenand_14.tsv	2	de-it	45	2022-05-19_kolumbien_–_emotionen.srt	2022-07-09_vivamos_mejor_-.srt	
mitenand_15.tsv	3	de-it-fr	59	2022-05-26_eine_wg_für.srt	2022-07-02_fondazione_felber_-.srt	2022-09-18_2233_fondation_felber.srt
mitenand_16.tsv	2	de-fr	32	2022-06-09_mehr_raum_für.srt		2023-04-16_2318_pro_natura.srt
mitenand_17.tsv	3	de-it-fr	47	2022-06-16_kambodscha_–_ein.srt	2022-12-31_kamboo,_aiuto_alla.srt	2022-10-09_2237_kamboo.srt
mitenand_18.tsv	3	de-it-fr	58	2022-06-23_selbstverteidigungskurse_für_queers.srt	2022-07-30_pink_cross_svizzera.srt	2240_pink_cross.srt
mitenand_19.tsv	2	de-fr	41	2022-06-30_wenn_berührung_schmerz.srt		2246_schmetterlingskinder.srt
mitenand_20.tsv	2	de-it	38	2022-07-07_polen_–_unterstützung.srt	2022-08-06_catena_della_solidarietà.srt	
mitenand_21.tsv	2	de-it	40	2022-07-25_ex-sträflinge_leisten_präventionsarbeit.srt	2022-08-27_i_detenuti_aiutano.srt	
mitenand_22.tsv	2	de-it	51	2022-08-01_leben_mit_cystischer.srt	2022-11-12_fibrosi_cistica_svizzera,.srt	
mitenand_23.tsv	2	de-it	37	2022-08-08_vom_müllsammler_zum.srt	2022-09-24_smiling_gecko_-.srt	
mitenand_24.tsv	2	de-fr	35	2022-09-08_sansibar_–_unabhängigkeit.srt		2022-02-24_zedi_a_appris.srt
mitenand_25.tsv	3	de-it-fr	36	2022-10-06_pakete_voller_liebe.srt	2022-03-26_associazione_ellie&mia_-.srt	2022-10-02_2234_association_ellie_et.srt
mitenand_26.tsv	2	de-it	40	2022-10-13_vietnam_–_unterstützung.srt	2022-11-19_medico_international_svizzera.srt	
mitenand_27.tsv	2	de-it	42	2022-11-03_thailand_–_kampf.srt	2023-01-07_trash_hero,_contro.srt	
mitenand_28.tsv	3	de-it-fr	64	2022-11-17_prävention_von_gewalt.srt	2022-10-08_associazione_patouch_-.srt	2022-04-24_2218_patouch.srt
mitenand_29.tsv	2	de-it	47	2022-11-24_tauchen_mit_handicap.srt	2023-03-04_hsa_-_handicapped.srt	
mitenand_30.tsv	3	de-it-fr	32	2022-12-01_einsatz_für_die.srt	2023-02-18_wwf_-_lis.srt	2023-02-19_2309_wwf.srt
mitenand_31.tsv	2	it-fr	50		2022-01-22_fondazione_san_gottardo.srt	2022-05-01_2219_fondation_san_gottardo.srt
mitenand_32.tsv	2	it-fr	25		2022-01-29_flavie_-_associazione.srt	2022-05-03_après_l’incendie_meurtrier.srt
mitenand_33.tsv	2	it-fr	32		2022-02-05_fondazione_theodora,_contribuire.srt	2022-02-13_2208_Theodora.srt
